Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 50,     Conv, 576, 32, 32, 576, 32, 32, 1,  COL, 0, 0, 1123, 1123, 4, 1, 4,,,,,,,,, L2, DMA, 1122, 1122, 288, 323200, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 576, 774272, 70, 2fad3a, ,,,,,,,, L2, DMA, 10, 10, 6912, 69120, 0, 4ee80, ,,,,,,,, 
 51,     Conv, 576, 32, 32, 160, 32, 32, 576, ROW_L, 0, 0, 256, 1088, 5, 1, 5,,,,,,,,, L2, DMA, 576, 576, 576, 332544, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 160, 215168, 70, 24fcba, ,,,,,,,, L2, DMA, 704, 577, 160, 112640, 0, 51300, ,,,,,,,, 
 52,     Conv, 160, 32, 32, 960, 32, 32, 160, ROW_L, 0, 0, 768, 1088, 2, 1, 2,,,,,,,,, L2, DMA, 1600, 1600, 160, 256000, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 960, 1290368, 70, 28453a, ,,,,,,,, L2, DMA, 192, 161, 960, 184320, 0, 3e800, ,,,,,,,, 
 53,     Conv, 960, 32, 32, 960, 32, 32, 1,  COL, 0, 0, 1226, 1226, 8, 1, 8,,,,,,,,, L2, DMA, 1224, 1224, 240, 293888, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 960, 1290368, 70, 28453a, ,,,,,,,, L2, DMA, 10, 10, 11520, 115200, 0, 47c00, ,,,,,,,, 
 54,     Conv, 960, 32, 32, 160, 32, 32, 960, ROW_L, 0, 0, 64, 1088, 17, 1, 17,,,,,,,,, L2, DMA, 192, 192, 960, 185216, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 160, 215168, 70, 28453a, ,,,,,,,, L2, DMA, 1088, 961, 160, 174080, 0, 2d380, ,,,,,,,, 
 55,  EltWise, 320, 32, 32, 160, 32, 32, 320,  COL, 0, 0, 1086, 1088, 1, 1, 1,,,,,,,,, L2, DMA, 1344, 1344, 160, 430080, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 160, 215168, 70, 24fcba, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 56,     Conv, 160, 32, 32, 960, 32, 32, 160, ROW_L, 0, 0, 768, 1088, 2, 1, 2,,,,,,,,, L2, DMA, 1600, 1600, 160, 256000, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 960, 1290368, 70, 28453a, ,,,,,,,, L2, DMA, 192, 161, 960, 184320, 0, 3e800, ,,,,,,,, 
 57,     Conv, 960, 32, 32, 960, 32, 32, 1,  COL, 0, 0, 1226, 1226, 8, 1, 8,,,,,,,,, L2, DMA, 1224, 1224, 240, 293888, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 960, 1290368, 70, 28453a, ,,,,,,,, L2, DMA, 10, 10, 11520, 115200, 0, 47c00, ,,,,,,,, 
 58,     Conv, 960, 32, 32, 160, 32, 32, 960, ROW_L, 0, 0, 64, 1088, 17, 1, 17,,,,,,,,, L2, DMA, 192, 192, 960, 185216, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 160, 215168, 70, 28453a, ,,,,,,,, L2, DMA, 1088, 961, 160, 174080, 0, 2d380, ,,,,,,,, 
 59,  EltWise, 320, 32, 32, 160, 32, 32, 320,  COL, 0, 0, 1086, 1088, 1, 1, 1,,,,,,,,, L2, DMA, 1344, 1344, 160, 430080, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 160, 215168, 70, 24fcba, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 60,     Conv, 160, 32, 32, 960, 32, 32, 160, ROW_L, 0, 0, 768, 1088, 2, 1, 2,,,,,,,,, L2, DMA, 1600, 1600, 160, 256000, 0, 0, ,,,,,,,, MSMC, CPU, 1344, 1226, 960, 1290368, 70, 24fcba, ,,,,,,,, L2, DMA, 192, 161, 960, 184320, 0, 3e800, ,,,,,,,, 
